Country,SyndromeStatus (6 and above=1),Syndrm2017Imp,Urbanization2015,Landneighbors,Terrain2014,RelFrac2003,EthnicFrac2003,ColStatus,CIV,OpenDef2015,UrbanOpenDef2015,FemLife Ex2015,MaleLifeEx2015,Dif Life Exp MW 2015,LifeExpect2016,HealthExpend2015,HealthExpendCapita2015,PrenatalCare2017,"BirthSkilledStaff2017",BirthAge15-19,MMR2015,RiskMaternalDeath2015,Stunted2015,IMR2016,MortUnder52016,Wasting2015,Underweight2015,Diarrhea2010,Tuberculosis2015,HIVPrev2015,PercentofDeathPrevent2015,MRComDis2008,ImmunMeasles2016,Undernourish2015,Alcohol2015,Cigarette2016,HIVFemPrev2016,HIVAIDs2016,AccssImprovedWater2016,AccssImprovedSanFclty2016,GHI2016,SSI2016,Avgnrgysply2014-16,FGM2015,ZPreventableDeath,ZOpenDef,ZHealthCareAccess,ZIllnessMort
Bahrain,1.00,11.00,88.775,0,2.075226978,0.552825093,0.502129972,1.00,2,0,0,77.92557,76.16297,2,76.92394,5.15597,"2,453",100,99.8,13.493,1,0.033687911,,6.5,7.6,,,0,12,0.1,6.4,63,99,,2.4,1101.49735,29.87919414,0.09,100.00,99.20,,,,0,-0.87,-1.04,2.34,
Bangladesh,1.00,14.00,34.277,2,58.91526465,0.209049806,0.045434002,1.00,2,0.10659,0,73.13727,70.55957,2,71.79896,2.63947,88,63.9,42.1,84.4078,3,0.421170638,36.4000015,28.2,34.2,14.3000002,32.90000153,6,221,0.1,25.3,344,94,15.1,0.2,744.0841957,33.90850772,0.09,87.03,60.56,27.1,6.5,109,0,2.19,-1.04,-2.33,1.04
Barbados,0.00,2.00,31.475,0,25.58139535,0.693402886,0.142342001,1.00,1,0.82955,,77.88534,73.08927,1,75.53287,7.45704,"1,234",93.4,98.6,39.1876,2,0.047252921,7.69999981,11.4,12.3,6.80000019,3.5,0,1.2,1.3,13.3,86,92,4.4,6.5,277.518512,32.80481749,1.3,99.74,96.21,,,119,0,-1.82,,2.01,-1.37
Belarus,0.00,4.00,76.667,5,27.94342319,0.611620724,0.322183996,1.00,1,0,0,77.96916,66.53932,0,72.26955,6.11132,"1,085",99.7,99.8,17.9796,0,0.007220806,,2.9,3.9,,,1,52,0.4,2.4,30,98,2.5,17.1,2911.297899,42.47776036,0.4,99.06,94.32,4,8.0,131,0,-4.59,-1.04,1.61,-1.19
Belgium,0.00,1.00,97.858,4,26.98150594,0.2126811,0.555400014,1.00,1,0,0,83.46426,78.58342,1,81.05846,10.47713,"4,782",,,5.1082,0,0.012565669,,3.1,3.9,,,1,10,,7.6,33,96,2.5,10.8,2440.880001,,,100.00,99.48,,8.7,149,1,-3.07,-1.04,,-1.48
Belize,1.00,6.00,43.973,2,3.419552828,0.581293225,0.701539993,1.00,1,1.22832,0.8111,73.08299,67.54636,1,70.14379,6.21023,524,97.2,96.8,64.7226,2,0.079141229,19.2999992,12.8,14.9,3.29999995,6.199999809,10,38,1.8,18,119,95,6.2,8.3,168.6157945,46.88909946,1.8,100.00,90.54,,,123,0,-1.11,-0.81,1.08,-0.97
Benin,1.00,13.00,43.95,4,23.94466123,0.554399371,0.787216008,1.00,5,55.16102,28.05162,61.07492,58.79525,2,59.95007,3.9919,84,82.8,77.2,88.1498,4,1.974065932,34,63.1,97.6,4.5,18,10,59,1,52.3,618,74,10.3,2.2,204.0189473,58.68570721,1,72.15,19.72,23.2,4.8,123,1,5.14,7.67,-3.48,-0.47
Bhutan,1.00,8.00,38.644,2,2.628748328,0.378703505,0.605000019,1.00,4,0,0,70.07595,69.53822,2,69.82259,3.4861,287,97.9,86.1,22.0802,3,0.324892974,33.5999985,26.8,32.4,5.9000001,12.80000019,7,178,,22.6,359,97,,1.1,,,,100.00,50.40,,6.6,,0,0.53,-1.04,-0.82,
Bolivia,1.00,6.00,68.512,5,4.128588572,0.208468601,0.739625037,1.00,1,14.49043,2.57006,73.25089,68.22276,1,70.68066,6.41118,446,90.1,84.8,69.0318,3,0.643990641,27.2000008,29.5,36.9,1.39999998,4.5,9,114,0.3,23.2,253,99,20.2,5.8,291.5955317,31.07554964,0.3,75.59,50.33,15.4,5.3,103,0,0.23,0.36,-0.78,0.75
Bosnia-Herzegovina,1.00,6.00,39.767,3,19.74609375,0.685085714,0.630038023,1.00,1,0,0,79.74216,75.01501,1,77.37395,9.38256,"1,102",87,99.9,10.4266,0,0.014623595,8.89999962,5.2,6,2.29999995,1.5,1,32,,1.9,22,83,2.5,7.5,1767.158389,,,100.00,94.78,4,7.3,125,0,-2.84,-1.04,2.25,-1.33
Botswana,1.00,11.00,57.444,4,0.70403896,0.598619282,0.410248011,1.00,5,16.85667,2.30812,68.07812,63.33931,2,65.67283,5.97092,970,94.1,99.9,31.7182,3,0.374878929,31.3999996,32.6,40.6,7.19999981,11.19999981,6,326,21.9,49.2,739,97,26,7.7,433.4769996,57.17564423,21.9,92.27,63.43,23.0,5.4,99,0,1.08,0.46,-0.23,2.69
Brazil,1.00,6.00,85.687,10,9.573541482,0.605430186,0.540835977,1.00,1,1.9827,0.47731,78.66576,71.42901,1,75.03806,8.91148,"1,392",97.2,99.2,62.6774,2,0.080088381,7.0999999,13.5,15.1,1.60000002,2.200000048,3,42,0.6,13.9,97,96,2.5,9.1,333.4978072,35.36438218,0.6,86.96,82.78,4,6.1,131,0,-1.13,-0.83,1.53,-1.26
Brunei,1.00,9.00,77.202,1,0.948766603,0.440405309,0.541599989,1.00,2,2.59844,3.1,79.21008,76.32333,2,77.73447,2.62278,"2,083",99,100,10.9406,1,0.04339517,19.7000008,8.5,9.9,2.9000001,9.600000381,0,66,,13,55,98,2.5,0.8,9.676124393,,,,,,,125,4,-0.83,-0.3,,-1.1
Bulgaria,0.00,4.00,73.948,5,32.11127487,0.596501172,0.402114123,1.00,1,0,0,77.97907,71.10458,1,74.49059,8.20309,"1,492",,99.8,40.2932,0,0.016181967,,6.5,7.6,,,1,27,0.1,2.3,31,92,3.4,11.3,1757.252777,30.49233881,0.09,98.98,85.98,8.3,7.6,117,0,-2.05,-1.04,1.6,-1.29
Burkina Faso,1.00,12.00,29.859,6,21.92982456,0.579798818,0.737738013,1.00,5,47.97629,7.23984,60.52885,59.10204,2,59.88453,5.44677,96,92.8,79.8,106.5448,4,2.070127335,35.0999985,52.7,84.6,15.3999996,26.20000076,12,51,0.8,55.6,801,88,20.2,7.4,408.1420577,65.80211529,0.8,75.83,19.73,31.0,4.4,128,4,5.18,3.37,-3.37,0.33
Burma/Myanmar,1.00,7.00,34.098,5,16.52018129,0.197385505,0.506186008,1.00,5,4.67295,0.44957,68.4774,64.61176,1,66.57565,4.94925,267,80.7,60.2,29.04,3,0.384770652,35.0999985,40.1,50.8,7.9000001,22.60000038,8,361,0.8,23.8,461,91,16.9,0.7,226.5008488,36.37904583,0.8,74.40,79.55,22.0,5.4,112,0,-0.45,-0.66,-1.47,2.14
Burundi,1.00,10.00,12.057,3,46.72897196,0.515826285,0.295143992,1.00,4,3.13549,1.03888,61.62474,57.69765,1,59.6284,8.24295,64,99.2,85.1,27.4016,4,4.272948275,57.5,48.4,71.7,6.0999999,29.10000038,15,118,1.1,56.9,943,93,,9.8,239.4465997,54.22269212,1.1,73.77,48.01,,5.1,,0,2.96,-0.65,-2.2,
Cambodia,1.00,7.00,20.723,3,21.52730569,0.096453398,0.210464001,1.00,5,40.5692,2.50569,70.6999,66.57087,1,68.73246,5.98226,210,95.3,89,49.9048,3,0.472972946,33.5,26.3,30.6,9.19999981,24.20000076,8,345,0.6,28.2,478,81,15.3,6.1,726.1504604,52.92737769,0.6,69.14,42.43,21.7,6.0,112,0,-0.52,2.02,-1.08,1.89
Cameroon,1.00,13.00,54.381,6,13.11586385,0.733753383,0.863489985,1.00,1,7.08085,1.29102,58.64586,55.91016,2,57.26504,5.11303,163,82.8,64.7,108.8318,4,2.888392618,31.7000008,52.8,79.7,5.19999981,14.80000019,13,203,3.8,55.2,861,78,7.9,7.7,171.0277848,64.93809403,3.8,52.71,45.80,22.9,5.1,121,1,5.88,-0.35,-3.53,0.29
Canada,0.00,1.00,81.828,1,4.777781077,0.69576782,0.712419987,1.00,5,0,0,84.09367,80.17769,1,82.17464,10.43562,"4,600",100,99.9,9.7884,1,0.011328543,,4.3,4.9,,,0,5.2,,5.6,23,90,2.5,10.3,1021.321245,,,99.00,99.82,,8.3,139,1,-2.9,-1.04,3.01,-1.51
Cape Verde,0.00,3.00,65.526,0,12.40694789,0.076616399,0.417400002,1.00,5,28.08394,18.3718,75.02922,71.28618,1,73.2935,4.84722,310,,92.3,74.7374,2,0.111282934,,18.2,21.4,,,,137,0.8,22.7,213,92,13.7,7.2,397.1290283,54.19137977,0.8,87.29,72.22,,,111,0,-0.59,4.15,0.63,0.35
Central African Rep,1.00,14.00,40.037,6,2.889338342,0.791633189,0.829509974,1.00,5,23.92107,6.48893,54.14864,50.87008,1,52.51537,4.77628,32,68.2,40,105.7876,4,3.668342681,40.7000008,88.5,123.6,7.4000001,23.5,11,407,4,60.2,1060,49,58.6,3.8,213.1523183,58.45262696,4,54.35,21.79,46.1,3.4,80,2,6.28,1.69,-6.09,6.05
Chad,1.00,14.00,22.471,6,3.891359593,0.64107883,0.862016022,1.00,1,67.5909,16.61859,54.46009,51.68431,2,53.06023,4.57628,100,54.7,20.2,164.516,4,5.518801589,39.9000015,75.2,127.3,13,28.79999924,14,153,1.3,65.6,1009,58,32.5,4.4,279.3296457,58.7478701,1.3,44.75,12.08,44.3,3.1,102,3,10.36,6.36,-7.29,2.08
Chile,0.00,4.00,89.53,3,1.733886369,0.384105712,0.186146006,1.00,4,0.11179,0,83.41737,77.43586,1,80.5054,8.07109,"1,903",,99.8,46.581,1,0.03914812,1.79999995,7.2,8.3,0.30000001,0.5,1,16,0.5,8.8,43,93,3.7,9.3,769.3434908,26.4075703,0.5,93.28,99.05,4,6.9,122,0,-1.85,-1.04,2.77,-1.33
China,1.00,9.00,55.614,16,11.25880106,0.664296329,0.15379034,1.00,1,1.50679,0.60323,77.63261,74.61652,2,76.06653,5.31587,762,96.2,99.9,6.5024,2,0.042300762,9.39999962,8.5,9.9,2.29999995,3.400000095,3,64,,4.3,58,99,9.6,7.6,2043.006553,,,92.97,76.47,7.7,6.4,129,0,-0.94,-0.84,1.48,-0.5
Colombia,0.00,5.00,76.436,5,1.557638576,0.147835106,0.601400018,1.00,2,3.93935,0.97788,78.38091,71.20392,1,74.75207,6.19133,853,97.2,99.2,49.497,2,0.125686759,12.6999998,13.1,15.3,0.89999998,3.400000095,4,32,0.4,10.5,64,93,7.1,6.6,351.3682745,19.89360175,0.4,73.82,81.10,8.5,5.9,125,1,-1.43,-0.61,1.44,-0.93
Comoros,1.00,7.00,28.296,0,34.92745836,0.0137451,0,1.00,5,0.592,0.52633,65.22682,61.86934,2,63.52052,8.04626,121,92.1,82.2,67.17,4,1.517437126,32.0999985,55,73.3,11.1000004,16.89999962,9,35,0.1,47.8,472,99,,0.2,585.3976911,35.57090169,0.09,89.14,35.82,,,106,1,3.89,-0.91,-2.27,
Congo,1.00,11.00,65.38,5,1.610541728,0.664236128,0.874725997,1.00,5,8.04219,1.72136,66.26813,63.15709,2,64.70164,3.43391,203,93.2,94.4,114.0906,4,2.223974994,21.2000008,38.5,54.1,8.19999981,12.30000019,7,378,3.1,53.3,692,80,28.2,3.9,195.2494156,59.14655193,3.1,40.04,15.01,26.6,4.4,100,1,4.81,-0.21,-2.24,3.23
Costa Rica,0.00,4.00,76.821,2,4.545632589,0.240958199,0.2368,1.00,1,0.19352,0.12043,82.1943,77.10906,1,79.61306,8.14558,"1,286",98.1,99.2,54.58,2,0.047644259,5.5999999,7.7,8.8,1,1.100000024,1,9.5,0.4,6.6,32,93,5.6,5.1,411.3744722,20.13313893,0.4,91.89,94.52,4,6.6,117,0,-1.62,-1.01,2.48,-1.21
Cote D'Ivoire,1.00,13.00,54.18,5,9.119496855,0.755107701,0.82042402,1.00,5,23.65548,4.13549,54.37389,52.34642,2,53.29928,5.43583,190,93.2,59.4,133.386,4,3.168161167,29.6000004,66,91.8,7.5999999,15.69999981,9,153,2.7,53.1,904,77,15.4,6.5,352.6663858,59.03183955,2.7,68.79,22.49,25.7,4.7,127,3,7.32,1.24,-5.05,0.6
Croatia,0.00,5.00,58.964,5,14.53180843,0.444733113,0.369026005,1.00,1,0.18868,0.32,81.18797,74.70851,1,78.00687,7.40362,"1,656",100,99.9,9.3744,1,0.012718536,,4,4.7,,,0,12,0.1,2,20,90,2.5,11.7,1578.881422,17.01251596,0.09,99.66,96.98,4,8.1,128,0,-2.92,-0.97,2.4,-1.46
Cuba,0.00,4.00,77.074,0,29.68659873,0.505935788,0.590799987,1.00,1,0.36197,0.2051,81.37916,76.94924,1,79.11738,10.85988,"2,137",98.5,99.9,45.0278,2,0.0566102,,4.2,5.5,,,2,6.9,0.4,8.1,47,99,2.5,5.5,233.5232564,28.05076277,0.4,89.80,93.16,4,7.0,143,0,-2.01,-0.98,2.41,-1.5
Cyprus,0.00,2.00,66.921,1,8.636363636,0.396160096,0.093854003,1.00,1,0,0,82.66895,78.34141,1,80.47902,6.76967,,99.2,97.4,4.6978,0,0.010671087,,2.1,2.6,,,0,5.6,,4,17,90,4.7,9.1,1961.3523,,,100.00,100.00,,8.0,107,1,-3.13,-1.04,2.69,-1.32
Czech Republic,0.00,1.00,72.992,4,40.70716228,0.659090579,0.322163999,1.00,1,0,0,81.73788,75.88262,1,78.82912,7.30822,"2,470",,99.8,10.2054,0,0.006766753,,2.5,3.2,,,1,5,0.1,5.1,25,98,2.5,14.1,2427.882737,11.52487506,0.09,100.00,99.11,,8.6,129,0,-2.98,-1.04,2.57,-1.51
D R Congo,1.00,11.00,42.494,9,3.131823295,0.702140987,0.874725997,1.00,1,12.07775,3.57718,61.45116,58.25715,1,59.84722,4.27136,34,88.4,80.1,125.2448,4,4.090656188,42.5999985,72,94.3,8.10000038,23.39999962,13,323,0.7,59.5,932,77,,3.4,128.0239064,65.25453511,0.7,31.21,28.65,,3.8,,1,6.31,0.39,-3.06,
Denmark,0.00,1.00,87.676,1,57.91855204,0.233303905,0.081859998,0.00,2,0,0,82.50392,78.63535,1,80.58478,10.32621,"5,083",,98.2,4.1856,0,0.010535361,,3.7,4.4,,,0,6.1,,6.3,27,94,2.5,10.2,1298.03935,,,100.00,99.60,,8.6,133,1,-3.07,-1.04,2.73,-1.5
Djibouti,1.00,11.00,77.343,3,0.086281277,0.0434568,0.796166003,1.00,1,22.82789,6.94798,65.32771,61.81841,2,63.53905,4.3893,147,87.7,87.4,19.4152,3,0.6980125,33.5,53.5,64.2,21.5,29.79999924,11,335,1.3,46.7,470,75,12.8,0.9,785.5204623,56.88443403,1.3,64.71,47.43,32.7,,118,4,2.02,1.7,-1.63,1.61
Dominican Republic,0.00,5.00,78.98,1,16.55971848,0.311844289,0.429399997,1.00,,3.28589,2.09279,77.06483,70.90373,1,73.88087,6.22404,873,98,97.7,96.1016,2,0.2478182,7.0999999,25.5,30.7,2.4000001,4,4,60,1,17.5,147,85,13.5,7.6,218.9153365,50.50310639,1,81.90,83.99,11.1,6.2,109,0,0.38,-0.45,1.36,-0.19
East Timor,1.00,12.00,32.77,1,10.42367182,0.425361603,,1.00,1,23.61036,5.11387,70.13435,66.63589,2,68.33028,3.09403,141,70.9,29.3,45.6234,3,1.22228197,50.2000008,42.4,49.7,11,37.70000076,8,498,,44.1,444,78,26.9,1.2,,,,60.52,40.63,34.3,,102,0,2.54,1.42,-4.03,3.93
Ecuador,1.00,7.00,63.742,2,4.097680786,0.141712502,0.655,1.00,2,3.00354,0.05659,78.99622,73.46015,1,76.1766,8.54316,980,,96.3,74.5986,2,0.171974068,25.2000008,17.8,20.9,2.29999995,6.400000095,4,50,0.3,16,105,86,12.1,6.1,93.4932465,30.85362045,0.3,75.52,84.69,13.9,6.0,108,0,-0.56,-0.84,1.59,-0.38
Egypt,1.00,12.00,43.135,4,2.682204028,0.19788,0.183592007,1.00,1,0.069,0.15997,73.17594,68.78423,1,70.93819,4.17155,495,90.3,91.5,50.9624,2,0.122989369,22.2999992,19.4,22.8,9.5,7,7,14,0.1,11.1,76,95,4.5,0.3,1449.410418,29.71912133,,98.99,94.72,13.7,6.7,152,4,-1.1,-1.01,1.06,-1.28
El Salvador,1.00,6.00,66.726,2,36.1969112,0.35588339,0.197799996,1.00,5,1.55572,0,77.93004,68.75614,0,73.52263,6.91453,578,96,98,70.2702,2,0.11175312,14,12.9,15,2,5,5,60,0.6,11.6,127,90,12.3,3.5,206.7029706,35.9543206,0.6,86.54,74.99,11.2,6.7,114,0,-2.77,-0.94,1.02,-0.29
Equatorial Guinea,1.00,12.00,39.923,2,4.278074866,0.119511098,0.346700013,1.00,2,4.42131,3.4,59.95223,56.58521,2,58.15444,2.69708,790,91.3,68.3,157.8528,3,1.642336111,26.2000008,66.2,90.9,3.0999999,5.599999905,7,181,6.2,50.3,720,30,,8.1,328.2451553,57.1819379,6.2,31.49,74.54,,,,0,6.73,-0.13,-2.28,
Eritrea,1.00,12.00,,3,6.831683168,0.425319105,0.652400017,1.00,1,76.02987,32.9,67.00308,62.37464,1,64.71303,3.31743,56,88.5,34.1,53.4908,4,2.329596352,50.2999992,32.9,44.5,15.3000002,38.79999924,11,74,0.6,46.3,303,93,,1.4,132.3249214,63.96810652,0.6,53.28,15.73,,,,4,1.33,9.9,-5.08,
Estonia,0.00,2.00,67.538,2,15.28898325,0.498456806,0.506169975,1.00,5,0,0,82.01372,72.68175,0,77.55537,6.51254,"1,887",,99.4,13.3262,1,0.015801274,,2.3,2.9,,,0,16,,2.7,21,93,2.5,,1759.909158,,,98.96,97.23,4,8.4,129,0,-4.73,-1.04,2.33,-1.44
Ethiopia,1.00,11.00,19.472,6,15.119,0.624867976,0.723471999,0.00,1,27.16306,7.18047,66.79919,62.84512,2,64.80106,4.04684,66,62.4,27.7,64.8554,4,1.55595121,40.4000015,41,58.4,8.69999981,25.20000076,14,177,1.1,49,721,70,28.8,4.3,115.2859353,61.99540542,1.1,48.64,28.02,33.4,4.8,99,4,3.21,2.02,-4.96,1.92
Fiji,1.00,7.00,53.728,0,9.031198686,0.568199396,0.547941983,1.00,1,0.13715,0.09438,73.06959,67.00685,1,69.85863,3.55412,331,100,98.8,43.7334,2,0.08127838,,18.7,22,,,4,59,0.1,10.5,166,94,4.6,3.2,491.0545578,30.65051732,0.1,91.21,91.12,8.5,,123,0,-1.34,-1.02,1.16,-0.97
Finland,0.00,1.00,84.221,3,7.34081411,0.253104389,0.131497309,1.00,1,0,0,83.80124,78.30553,1,81.07519,9.44569,"3,996",99.8,99.9,6.8998,0,0.004608347,,1.9,2.3,,,0,4.7,,1.4,11,94,2.5,11.9,1098.804093,,,100.00,97.65,,9.0,134,1,-3.09,-1.04,2.8,-1.51
France,0.00,1.00,79.52,8,33.4816284,0.402858108,0.103216842,0.00,5,0,0,85.36506,79.40705,1,82.42604,11.06644,"4,542",99.8,98.3,8.8022,0,0.016504224,,3.2,3.9,,,1,7.7,0.4,6.4,23,90,2.5,11.6,1089.868333,31.94382584,0.4,100.00,98.65,,8.4,141,1,-2.97,-1.04,2.92,-1.49
Gabon,1.00,13.00,87.156,3,1.261303217,0.667440772,0.768959999,1.00,5,3.02638,2.5089,67.19897,64.74628,2,65.97317,2.67892,481,94.7,89.3,98.484,3,1.173956687,17.5,34.3,47.4,3.4000001,6.5,7,485,3.6,46,545,64,7,11.8,451.2428865,67.07299826,3.6,66.68,41.86,12.0,5.6,126,1,3.41,-0.39,-1.43,2.12
Gambia,1.00,14.00,59.632,1,43.47826087,0.096968397,0.786401987,1.00,1,0.60643,0,62.46507,59.78499,2,61.08887,6.74591,114,86.2,57.2,81.943,4,4.110835623,25,42.2,65.3,11.1000004,16.39999962,9,174,1.7,55.3,525,97,10.9,3.2,249.0509316,58.81557649,1.7,84.35,58.88,20.9,4.5,118,4,5.69,-1,-2.98,0.36
Georgia,1.00,8.00,53.641,4,6.576485825,0.65429908,0.492273986,1.00,1,0,0,78.26223,70.34495,1,74.37203,7.93236,718,97.6,99.9,47.052,2,0.067702377,11.3000002,9.5,10.7,1.60000002,1.100000024,1,92,0.5,2.9,72,93,7,6.7,1917.724954,30.80406908,0.5,100.00,86.26,8.2,7.5,118,0,-1.7,-1.04,1.6,-0.54
Germany,0.00,1.00,75.301,9,34.02407567,0.657119572,0.168201998,0.00,5,0,0,83.35269,78.69654,1,81.04001,11.15157,"5,357",100,98.5,6.8406,0,0.00852046,,3.2,3.8,,,0,8.1,,4.6,21,97,2.5,10.6,1599.516213,,,100.00,99.22,,8.8,136,1,-3.03,-1.04,2.78,-1.49
Ghana,1.00,10.00,54.042,3,20.65570889,0.798675179,0.673331976,1.00,1,18.74744,8.2155,63.91058,60.96666,2,62.43842,5.90824,249,90.5,70.8,67.644,4,1.344879206,18.7000008,41.2,58.8,4.69999981,11.19999981,7,156,1.6,45.8,608,89,7.6,5.4,40.54004284,62.27136452,1.6,84.05,14.87,13.9,4.9,132,1,3.12,1.68,-3.65,-0.05
Greece,0.00,4.00,78.007,4,17.25368503,0.153030604,0.157630101,1.00,1,0,0,83.63156,78.30951,1,80.97888,8.38484,"2,204",,,7.4862,0,0.004222041,,3.1,3.8,,,0,4.4,,3.3,25,97,2.5,9.3,2078.553484,,,100.00,98.98,,7.7,135,1,-3.02,-1.04,,-1.52
Guatemala,1.00,9.00,51.571,4,8.714072415,0.37532419,0.512199998,1.00,5,5.59549,1.35165,75.18421,68.50304,1,71.8885,5.71639,444,91.3,65.5,72.4582,3,0.306323594,46.5,23.9,28.5,0.69999999,12.60000038,7,24,0.5,25.1,225,86,15.6,3.9,111.7740887,39.44657758,0.5,86.82,63.85,20.7,5.1,115,0,-0.22,-0.43,-1.09,-0.25
Guinea,1.00,13.00,37.161,6,12.61598567,0.264852285,0.738942027,1.00,5,15.36007,1.23172,59.7788,58.22355,2,59.00079,4.53653,57,84.3,45.3,137.4098,4,3.462112658,35.7999992,58.3,89,5.5999999,16.29999924,10,176,1.5,59,759,54,17.5,0.7,316.0389976,59.87136811,1.5,67.40,20.10,28.1,4.6,117,4,7.28,0.17,-5.1,0.94
Guinea-Bissau,1.00,13.00,49.332,2,10.6685633,0.612823725,0.808214009,1.00,1,16.06345,1.81141,60.53991,57.24135,2,58.87255,6.8794,100,92.4,45,87.2052,4,2.622019451,27.6000004,57.8,88.1,6,17,12,374,3.1,61.2,928,81,28.3,4.3,25.27625157,60.410618,3.1,60.28,20.85,27.4,3.9,100,3,5.38,0.32,-5.11,3.21
Guyana,1.00,7.00,28.553,3,2.133604267,0.787591815,0.619498014,1.00,1,0.62707,0,68.54857,63.92845,1,66.16611,4.4796,336,90.7,85.7,86.6694,3,0.586945693,12,26.9,32.4,6.4000001,8.5,3,93,1.6,20.3,194,99,8.5,8.6,359.1370926,51.27377012,1.6,98.30,83.65,14.5,5.8,118,0,0.49,-1,-0.17,-0.4
